報 繳（查 定） 稅 額,,,,實　徵　稅　額
本月份,,本年度截至本月底累計,,本月份
申報,查定,申報,查定,申報
"3,255,542",,"32,142,930",,"3,227,898"
"747,239",,"7,461,343",,"747,070"
"2,507,140",,"22,878,645",,"2,480,409"
"1,163",,"1,802,942",,419
"77,525",0,"710,019",0,"77,525"
